NAICS 	NAICS Title
11114001	WHEAT FARMING                                     
11116001	RICE FARMING                                      
11115001	CORN FARMING                                      
11111001	SOYBEAN FARMING                                   
11119901	ALL OTHER GRAIN FARMING                           
11192001	COTTON FARMING                                    
11191001	TOBACCO FARMING                                   
11191002	TOBACCO FARMING                                   
31131402	CANE SUGAR MANUFACTURING                          
11121101	POTATO FARMING                                    
11199801	ALL OTHER MISCELLANEOUS CROP FARMING              
11199802	ALL OTHER MISCELLANEOUS CROP FARMING              
11121901	OTHER VEGETABLE (EXCEPT POTATO) & MELON FARMING   
11121902	OTHER VEGETABLE (EXCEPT POTATO) & MELON FARMING   
11133401	BERRY (EXCEPT STRAWBERRY) FARMING                 
11133402	BERRY (EXCEPT STRAWBERRY) FARMING                 
11133201	GRAPE VINEYARDS                                   
11133501	TREE NUT FARMING                                  
11133503	TREE NUT FARMING                                  
11133502	TREE NUT FARMING                                  
11132002	CITRUS (EXCEPT ORANGE) GROVES                     
11132001	CITRUS (EXCEPT ORANGE) GROVES                     
11133902	OTHER NONCITRUS FRUIT FARMING                     
11133103	APPLE ORCHARDS                                    
11133104	APPLE ORCHARDS                                    
11133101	APPLE ORCHARDS                                    
11133102	APPLE ORCHARDS                                    
11133601	FRUIT & TREE NUT COMBINATION FARMING              
11133602	FRUIT & TREE NUT COMBINATION FARMING              
11133901	OTHER NONCITRUS FRUIT FARMING                     
11142103	NURSERY & TREE PRODUCTION                         
11142104	NURSERY & TREE PRODUCTION                         
11142106	NURSERY & TREE PRODUCTION                         
11142102	NURSERY & TREE PRODUCTION                         
11142201	FLORICULTURE PRODUCTION                           
11142202	FLORICULTURE PRODUCTION                           
11141101	MUSHROOM PRODUCTION                               
11141902	OTHER FOOD CROPS GROWN UNDER COVER                
11141901	OTHER FOOD CROPS GROWN UNDER COVER                
11199803	ALL OTHER MISCELLANEOUS CROP FARMING              
11199804	ALL OTHER MISCELLANEOUS CROP FARMING              
11199805	ALL OTHER MISCELLANEOUS CROP FARMING              
11199806	ALL OTHER MISCELLANEOUS CROP FARMING              
