SIC	Description
512202	Abdominal Supports (Whls)
384202	Abdominal Supports-Manufacturers
839903	Abortion Alternatives Organizations
809304	Abortion Information & Services
162932	Abrasive Cutting
149906	Abrasive Materials
329102	Abrasive Products (Mfrs)
508523	Abrasives (Whls)
516904	Absorbents (Whls)
384220	Absorbents-Manufacturers
654103	Abstracters
829937	Academic Career Coordination
573415	Academic Software
738210	Access Panels
563215	Accessories-Fashion
632198	Accident & Health Ins (Underwriters)
874852	Accident Reconstruction Service
701117	Accommodations
573606	Accordions
872101	Accountants
872121	Accountants Commercial
872107	Accountants Referral Service
872108	Accountants-Certified-General
872110	Accountants-Certified-Management
872119	Accountants-Public School
872102	Accounting & Bookkeeping General Svc
504401	Accounting & Bookkeeping Systems (Whls)
737204	Accounting Software & Solutions
504408	Accounting/Bookkeeping Mach/Supls (Whls)
344301	Accumulators (Mfrs)
516908	Acetylene (Whls)
516910	Acids (Whls)
382903	Acoustic/Vibration Instrumentation-Mfrs
871102	Acoustical Consultants
174202	Acoustical Contractors
174201	Acoustical Materials
329602	Acoustical Materials-Manufacturers
503921	Acoustical Materials-Wholesale
282107	Acrylic (Mfrs)
899910	Actuaries
804913	Acupuncture
804104	Acupuncture Chiropractors
809930	Acupuncture Information & Referral Svc
824914	Acupuncture Schools
839921	Addiction Treatment Centers
504409	Addressing Machines & Supplies (Whls)
733106	Addressing Plate Service
516912	Adhesives & Glues (Whls)
289101	Adhesives & Glues-Manufacturers
357902	Adhesives & Gluing Equipment-Mfrs
289198	Adhesives & Sealants (Mfrs)
641101	Adjusters-Public
874123	Administrators-Chartered
325901	Adobe Blocks & Shapes (Mfrs)
174105	Adobe Materials & Contractors
832207	Adoption Agencies
832273	Adult Abuse Hotline
805903	Adult Care Facilities
836108	Adult Congregate Living Facilities
703208	Adventure Games & Activities
472412	Adventure Vacations
731115	Advertising Marketing
731999	Advertising Nec
731903	Advertising-Aerial
731101	Advertising-Agencies & Counselors
733605	Advertising-Art Layout & Production Svc
731104	Advertising-Checking Service
731917	Advertising-Computer
731914	Advertising-Coupons
733105	Advertising-Direct Mail
731103	Advertising-Directory & Guide
731916	Advertising-Distributors
731926	Advertising-Fax
731911	Advertising-Indoor
731918	Advertising-Jewelry Awards & Incentives
731306	Advertising-Magazine
731105	Advertising-Motion Picture
731106	Advertising-Newspaper
731201	Advertising-Outdoor
731108	Advertising-Periodical
731109	Advertising-Personnel Recruitment
731919	Advertising-Promotional
731303	Advertising-Radio
824915	Advertising-Schools
731915	Advertising-Searchlights
731107	Advertising-Shoppers' Guides
731307	Advertising-Soundtrack & Jingles
519917	Advertising-Specialties (Whls)
399303	Advertising-Specialties-Manufacturers
731305	Advertising-Television
731112	Advertising-Theatrical
731110	Advertising-Time & Temp Announcements
731902	Advertising-Transit & Transportation
731920	Advertising-Traveling Signboards
731308	Advertising-Video Production Services
738304	Advice
839933	Advocacy Resources
078215	Aerators
072103	Aerial Applicators
733509	Aerial Patrol & Inspection Service
452203	Aerial Personnel Lifts
799103	Aerobics
559912	Aeronautical Supplies
399901	Aerosols (Mfrs)
381201	Aerospace Industries (Mfrs)
874402	Aerospace Support Services-Technical
508787	Aesthetic Equipment & Supplies (Whls)
944105	Affirmative Action
599948	African Goods-Retail
594415	Agates
503250	Aggregates-Construction Materials (Whls)
519104	Agricultural Chemicals (Whls)
154234	Agricultural Construction
874820	Agricultural Consultants
072102	Agricultural Contractors
508331	Agricultural Implements & Supplies-Whls
874818	Agricultural Marketing
071104	Agricultural Minerals
013901	Agricultural Products
873119	Agricultural Research
076104	Agricultural Technicians
809969	Aids & Hiv Counseling Svc
809933	Aids Information & Testing
356398	Air & Gas Compressors (Mfrs)
452202	Air Ambulance Service
753940	Air Bags Parts & Service
171130	Air Balancing
571238	Air Beds
448905	Air Boats
508464	Air Brushes (Whls)
172121	Air Brushing
451202	Air Cargo Service
507501	Air Cleaning & Purifying Equip (Whls)
356402	Air Cleaning & Purifying Equipment-Mfrs
762309	Air Conditioning & Heating-Service/Rpr
171117	Air Conditioning Contractors & Systems
507503	Air Conditioning Equip & Systems-Whls
171127	Air Conditioning Equip Test & Balancing
358501	Air Conditioning Equipment-Manufacturers
762304	Air Conditioning Equipment-Repair
762307	Air Conditioning Equip-Room Units-Repair
572212	Air Conditioning Room Units-Dealers
358513	Air Conditioning Room Units-Mfrs
735973	Air Conditioning Room Units-Renting
507505	Air Conditioning Supplies & Parts (Whls)
358502	Air Conditioning Supplies & Parts-Mfrs
762306	Air Conditioning Systems-Cleaning
358598	Air Conditioning/Htg/Refrig Equip (Mfrs)
572232	Air Conditioning-Portable
451301	Air Courier Services
507515	Air Curtains & Screens (Whls)
356410	Air Curtains & Screens-Manufacturers
171159	Air Duct Sealing
899944	Air Flight Attendants
734211	Air Fragrances
399975	Air Fresheners-Manufacturers
501324	Air Motors (Whls)
171116	Air Pollution Control
507520	Air Pollution Measuring Equip (Whls)
873408	Air Pollution Measuring Service
572230	Air Purification & Filtration Equipment
382912	Air Quality Measuring Equipment (Mfrs)
452205	Air Sightseeing Tours
458109	Air Traffic Control Tower
452298	Air Transportation-Nonscheduled
451298	Air Transportation-Scheduled
508817	Aircraft Avionics-Sales & Service (Whls)
508814	Aircraft Brokers (Whls)
735939	Aircraft Charter Rental & Leasing Svc
372801	Aircraft Components-Manufacturers
372107	Aircraft Designing (Mfrs)
372498	Aircraft Engines & Engine Parts-Mfrs
508819	Aircraft Engines (Whls)
372401	Aircraft Engines-Manufacturers
458102	Aircraft Engines-Servicing & Maintenance
372802	Aircraft Equipment Parts & Supls-Mfrs
508823	Aircraft Equipment Parts & Supls-Whls
559908	Aircraft Equipment Parts & Supplies
458103	Aircraft Ferrying & Transporting Svc
372807	Aircraft Flight Training Equip (Mfrs)
458101	Aircraft Ground Support & Service Equip
372804	Aircraft Ground Support & Svc Equip-Mfrs
458112	Aircraft Hangars-Rental & Sales
372814	Aircraft Industrial Fasteners (Mfrs)
962108	Aircraft Inspection
504910	Aircraft Instruments (Whls)
372102	Aircraft Interior Redesigning (Mfrs)
372803	Aircraft Machine Work (Mfrs)
874109	Aircraft Management Services
372805	Aircraft Modifications (Mfrs)
372808	Aircraft Oxygen Systems (Mfrs)
372806	Aircraft Parts-Assemblers (Mfrs)
508809	Aircraft Parts-Reclaiming (Whls)
381207	Aircraft Radio Equipment (Mfrs)
762214	Aircraft Radio Servicing
508822	Aircraft Rebuilding (Whls)
458110	Aircraft Refinishing & Painting
372809	Aircraft Research & Development (Mfrs)
509301	Aircraft Salvage (Whls)
829917	Aircraft Schools
458104	Aircraft Servicing & Maintenance
458105	Aircraft Storage
458114	Aircraft Support Services
372402	Aircraft Tooling (Mfrs)
458107	Aircraft Upholsterers
458113	Aircraft Washing & Polishing
372103	Aircraft/Aircraft Equip Testing (Mfrs)
559905	Aircraft-Dealers
372101	Aircraft-Manufacturers
458116	Aircraft-Restore & Customize
451201	Airline Companies
458111	Airline Support Services
472901	Airline Ticket Agencies
829920	Airline Training Schools
829985	Airplane Glider Helicopter Ride-Instrctn
452206	Airplane Rides
594523	Airplanes-Model
458115	Airport Authority & Terminal Svcs
874262	Airport Consultants
154211	Airport Designers
361207	Airport Equipment & Supplies (Mfrs)
752104	Airport Parking Service
458118	Airport Services
411101	Airport Transportation Service
458106	Airports
509165	Airsoft Games & Supls
278204	Albums (Photo)-Manufacturers
511226	Albums (Photo)-Wholesale
516911	Alcohol (Whls)
382920	Alcohol Breath Detectors (Mfrs)
738218	Alcohol Monitoring
899936	Alcohol Permit Consultants
839902	Alcoholism Information & Treatment Ctrs
799104	Alexander Technique
519106	Alfalfa & Alfalfa Products (Whls)
281298	Alkalies & Chlorine (Mfrs)
281202	Alkalies (Mfrs)
557101	All Terrain Vehicles
379909	All Terrain Vehicles-Manufacturers
283408	Allergy Laboratories (Mfrs)
801120	Allergy Physicians
591209	Allergy Resistant Products
505117	Alloys (Whls)
029105	Alpacas
569932	Alterations-Clothing
554110	Alternative Fuels
804946	Alternative Medicine
553105	Alternators & Generators-Automotive
369404	Alternators & Generators-Automotive-Mfrs
753908	Alternators & Generators-Automotive-Rpr
501340	Alternators & Generators-Automotive-Whls
369405	Alternators & Starters-Marine (Mfrs)
505128	Aluminum (Whls)
336398	Aluminum Die Castings (Mfrs)
335498	Aluminum Extruded Products (Mfrs)
335501	Aluminum Fabricators (Mfrs)
344613	Aluminum Ornamental Work (Mfrs)
571982	Aluminum Products-Retail
335598	Aluminum Rolling & Drawing Nec (Mfrs)
335301	Aluminum Sheet Plate & Foil (Mfrs)
329103	Aluminum Wool-Manufacturers
281902	Alum-Manufacturers
832258	Alzheimers Education/Referral/Support
594723	Amber & Amber Goods
411902	Ambulance Service
501202	Ambulances & Hearses (Whls)
501366	Ambulances & Hearses Equip/Supls (Whls)
371105	Ambulances & Hearses-Manufacturers
411905	Ambulette Service
516914	Ammonia (Whls)
287302	Ammonia-Manufacturers
594145	Ammunition
509338	Ammunition Disassembly Wst/Recycle
348404	Ammunition Reloading Equip & Supls-Mfrs
594144	Ammunition Reloading Equipment & Supls
348398	Ammunition-Except For Small Arms (Mfrs)
509122	Ammunition-Wholesale
501203	Amphibious Vehicles (Whls)
573605	Amplifiers
365115	Amplifiers-Manufacturers
799999	Amusement & Recreation Nec
799604	Amusement & Theme Parks
799301	Amusement Devices
509920	Amusement Devices-Wholesale
508747	Amusement Park Rides Equipment (Whls)
399907	Amusement Park Rides Equipment-Mfrs
799601	Amusement Places
382305	Analyzers-Industrial Control-Mfrs
555117	Anchors
344101	Anchors-Expansion (Mfrs)
555114	Anchors-Marine
335502	Anchors-Rail (Mfrs)
861105	Ancsa Native Corporations
382919	Anemometers (Mfrs)
801108	Anesthetists
806305	Anger Management
342913	Angle Irons (Mfrs)
526120	Animal & Bird Housing
207798	Animal & Marine Fats & Oils (Mfrs)
869927	Animal Adoptions
074206	Animal Ambulance Service
075242	Animal Behavioral Services
027905	Animal Breeders
029102	Animal Brokers & Dealers-Zoo Circus Etc
519960	Animal Cages & Racks-Wholesale
207701	Animal Carcass Removal (Mfrs)
075236	Animal Communicator
842208	Animal Exhibition Service
519126	Animal Foods-Zoo & Circus & Etc (Whls)
519108	Animal Health Products (Whls)
204801	Animal Health Products-Manufacturers
074203	Animal Hospitals
075216	Animal Nutritionist Consultants
807123	Animal Plant Dna Testing
869909	Animal Protection Organizations
075213	Animal Registration & Identification Svc
097103	Animal Rescue Relocation & Transporting
075203	Animal Shelters
075228	Animal Shows & Organizations
027999	Animal Specialties Nec
519127	Animal Supplies-Zoo Circus Etc (Whls)
075220	Animal Therapy-Alternative
075219	Animal Training
421224	Animal Transporting-Zoo Circus Etc
027903	Animals-Laboratory Use
734212	Animals-Pest Trappers
781212	Animated Film Services
399306	Animation Mechanisms-Display Sign (Mfrs)
275216	Announcements (Mfrs)
382301	Annunciators-Manufacturers
506535	Annunciators-Wholesale
505118	Anodes (Whls)
347101	Anodizing (Mfrs)
599901	Answering Machines-Automatic
573101	Antennas
367904	Antennas-Manufacturers
506536	Antennas-Wholesale
804972	Anti Aging Products & Treatments
289923	Anti-Fogging Compounds-Manufacturers
289902	Anti-Freeze Compounds-Manufacturers
593243	Antique Silver
593202	Antiques-Dealers
764112	Antiques-Repairing & Restoring
593209	Antiques-Reproductions
525116	Antiques-Restoration Supplies & Hardware
593210	Antiques-Wholesale
734932	Apartment Cleaning
653111	Apartment Finding & Rental Service
571208	Apartment Furnishings
502301	Apartment House Supplies (Whls)
651304	Apartment Rental Agencies
653110	Apartment Sharing Service
651303	Apartments
651307	Apartments-Short Term
238998	Apparel & Accessories Nec (Mfrs)
569947	Apparel & Garments-Retail
233104	Apparel Design & Mfg
238798	Apparel-Belts (Mfrs)
513799	Apparel-Chldrn/Teen Headwear Whls/Mfrs
513603	Apparel-Mens-Wholesale
513724	Apparel-Womens Millinery-Jobbers (Whls)
235301	Apparel-Womens Millinery-Manufacturers
581217	Appetizers & Snacks Etc
017504	Apple Growers
072315	Apple Packers
017505	Apple Products
514813	Apple Shippers (Whls)
593257	Appliance Demanufacturing
509341	Appliances Recycling (Whls)
504653	Appliances-Commercial/Ind-Sales/Rpr
572202	Appliances-Household-Major-Dealers
363901	Appliances-Household-Major-Manufacturers
735941	Appliances-Household-Major-Renting
762902	Appliances-Household-Major-Repairing
506401	Appliances-Household-Major-Supls (Whls)
593208	Appliances-Household-Major-Used
506404	Appliances-Household-Major-Wholesale
769973	Appliances-Household-Refinishing
572207	Appliances-Household-Small-Dealers
762901	Appliances-Household-Small-Repairing
593237	Appliances-Household-Small-Used
506403	Appliances-Household-Small-Wholesale
506518	Appliances-Hshld-Small-Supls/Prts (Whls)
495327	Appliances-Removal Service
249912	Applicators (Mfrs)
738913	Appraisers
653109	Appraisers-Industrial & Commercial
833103	Apprenticeship Training Programs
569925	Aprons-Domestic & Fancy
513725	Aprons-Domestic & Fancy-Wholesale & Mfrs
721802	Aprons-Industrial
238503	Aprons-Industrial-Manufacturers
729945	Aqua Massage
027301	Aquaculture
874858	Aquaculture Consultants
599970	Aquariums & Aquarium Supls
799976	Aquariums & Aquarium Supls-Leasing/Mntc
323106	Aquariums & Aquarium Supls-Mfrs
519916	Aquariums & Aquarium Supls-Wholesale
842205	Aquariums-Public
804979	Aquatic Therapy
738907	Arbitration Services
842203	Arboretums
078304	Arborists
799303	Arcades
873301	Archaeologists
504925	Archaeologists Equip & Supplies (Whls)
594143	Archery Equipment & Supplies
394910	Archery Equipment & Supplies-Mfrs
509123	Archery Equipment & Supplies-Wholesale
