CD PO Number,CG Order #,Part Number,Part Description,Qty,Shipped to Date Qty,Previous Ship Date,New Ship Date,Ship Date Revision
132991,128080,DCIB05041S016,"5X15/16 CST PLN BORE, BRAKE",250.00,0,11/29/17,11/29/17,N/A
133628,135049,AX062280801,"6X2 AX WHL, ANTHRACITE GRAY",100.00,95,07/27/17,07/27/17,N/A
135040,154165,PD081271202,"CPD00022,8x1.625,3/4""BB,GROOVE",200.00,0,11/01/17,11/01/17,N/A
137281,180830,708688379,7.08688.379   ENFORCER,14.00,0,09/07/17,09/07/17,N/A
137312A,181314,MR082411004,"8X1.88MR,KW,GRY SCRB DIA.TPRD",208.00,0,09/29/17,09/29/17,N/A
137338,181515,03181.68,WHL 6X2 GRAY CORE & TREAD,"          2,500.00",0,10/06/17,10/06/17,N/A
137338,181515,03181.68,WHL 6X2 GRAY CORE & TREAD,"          2,500.00",0,11/03/17,,N/A
137338,181515,03181.68,WHL 6X2 GRAY CORE & TREAD,"          2,500.00",0,12/01/17,,N/A
137338,181515,03181.68,WHL 6X2 GRAY CORE & TREAD,"          2,500.00",0,01/05/18,,N/A
137317,181542,97725,PCM401RBB,100.00,0,07/26/17,07/26/17,N/A
137432,182862,FB180600,18/110 SERIES 6" BRAKE KIT,100.00,0,09/08/17,09/08/17,N/A
137520,183898,MR107411606,"10X4 GREY MR,SPOKE HUB, 1""BORE",101.00,0,08/25/17,08/25/17,N/A
137565,184393,404109929,4.04109.929,600.00,0,08/28/17,,N/A
137565,184393,404109929,4.04109.929,600.00,0,10/31/17,,N/A
137619,184828,K2275-49,STEM UT100 710 TZ,"          1,000.00",0,08/18/17,08/18/17,N/A
137622,184869,PY0320019,3-1/4X2-3/16 LESBRG 1-3/16 BORE,41.00,0,08/16/17,08/16/17,N/A
137637,185182,FL0520112,5-3/8X1-3/4 3/4 ROLBRG,6.00,0,08/16/17,08/16/17,N/A
137684,185899,16XA04202S010,"16XA 5-3/8""OAH,SS02,GRV POLY",200.00,0,08/31/17,08/31/17,N/A
137684,185899,16XA04202S010,"16XA 5-3/8""OAH,SS02,GRV POLY",200.00,0,11/16/17,11/16/17,N/A
137684,185899,16XA04202S010,"16XA 5-3/8""OAH,SS02,GRV POLY",200.00,0,02/09/18,02/09/18,N/A
137684,185899,16XA04202S010,"16XA 5-3/8""OAH,SS02,GRV POLY",150.00,0,04/20/18,04/20/18,N/A
137719,186124,03076.84/78237,CST 1.03051.441 SP STM,"          2,000.00",980,09/12/17,09/12/17,N/A
137769,186771,16YA06201SBS07,16 ser 6" swl rig PATD rig,8.00,0,08/09/17,08/09/17,N/A
137791,186930,105258,TGE65507BK-MNTB,800.00,700,08/09/17,08/09/17,N/A
137791,186930,105258,TGE65507BK-MNTB,360.00,0,08/31/17,08/31/17,N/A
137796,187162,PY0320019,3-1/4X2-3/16 LESBRG 1-3/16 BORE,16.00,0,08/18/17,08/18/17,N/A
137896,188523,110211,PUT75101BK,400.00,98,08/18/17,08/18/17,N/A
137907,188651,FB180600,18/110 SERIES 6" BRAKE KIT,4.00,1,09/11/17,09/11/17,N/A
137924,188721,105258,TGE65507BK-MNTB,100.00,0,08/31/17,08/31/17,N/A
137946,189016,FB180600,18/110 SERIES 6" BRAKE KIT,100.00,0,09/08/17,09/08/17,N/A
137972,189470,ZY0816001,"1/2"" ID 6205 2"" WHL, 2.438"" HL",196.00,0,08/18/17,08/18/17,N/A
138011,189658,04582,32C080BZ-U,10.00,4,08/02/17,09/06/17,N/A
138011,189658,110399,PSF100000GR,30.00,25,07/26/17,07/26/17,N/A
138013,189660,205000530003,2.00005.53 WBO1B LESS BUSHING (52553),500.00,0,09/06/17,,N/A
138068,190648,901994,RZ03TPP090TLTP05,4.00,0,09/11/17,09/11/17,N/A
138068,190648,105262,TGE65637BK-MNTB,60.00,8,08/30/17,08/30/17,N/A
138068,190648,105077,EZR80156TZ-NOM21(KG),8.00,0,08/21/17,08/21/17,N/A
138084,190682,05944.26,BRK KIT 4SER 6" TREAD LOCK,24.00,0,08/29/17,08/29/17,N/A
138063,190699,ZA122210,3/4X1-3/8 PBB FLANGED    G-12,200.00,142,08/21/17,08/21/17,N/A
138090,190703,02YQ04001S002,"02YQ04001ST, (2) 5/16-18 HOLES",75.00,68,07/31/17,07/31/17,N/A
138129,191126,103214,POM30419BC-MNT,13.00,0,08/18/17,08/18/17,N/A
138140,191216,105258,TGE65507BK-MNTB,300.00,0,08/31/17,08/31/17,N/A
138153,191409,105258,TGE65507BK-MNTB,100.00,0,11/20/17,11/20/17,N/A
138144,191425,PD081271202,"CPD00022,8x1.625,3/4""BB,GROOVE",3.00,0,08/18/17,08/18/17,N/A
138184,191862,205000530003,2.00005.53 WBO1B LESS BUSHING (52553),500.00,0,08/28/17,,N/A
138184,191862,205000530003,2.00005.53 WBO1B LESS BUSHING (52553),500.00,0,09/25/17,,N/A
138202,192004,101659,PRE20532ZN-3E,208.00,100,08/04/17,08/04/17,N/A
138202,192004,101660,PRE20532ZN-3EB,208.00,0,08/04/17,08/17/17,N/A
138203,192096,102966,PRE30634ZN-MNT,60.00,50,08/11/17,08/04/17,N/A
138213,192178,102338,PRE50204ZN-TPR,40.00,0,08/04/17,08/04/17,N/A
138227,192500,1030560000002,1.03056 AX2,36.00,0,09/15/17,09/15/17,N/A
138227,192500,03184.54,5.00005.455 WHL W/3/4" ID PPBB,100.00,0,08/18/17,08/18/17,N/A
138240,192508,03076.84/78237,CST 1.03051.441 SP STM,"          2,000.00",0,10/23/17,10/23/17,N/A
138248,192734,105258,TGE65507BK-MNTB,500.00,0,11/20/17,11/20/17,N/A
138235,192739,K2208M,PLATE UT100120ZN ASY,24.00,0,08/11/17,,N/A
138235,192739,104662,PSF50000BK,10.00,0,08/11/17,08/11/17,N/A
138257,192949,110247,PUT75211BK,200.00,180,08/11/17,08/11/17,N/A
SAMPLES/5/1/2017/SS,176015,906765,TG04TPP281TLTS07PSDRC,1.00,0,05/04/17,12/27/17,N/A
138257,192949,95553,PNA22000BC,4.00,3,08/11/17,08/11/17,N/A
138258,192968,52023.04,BRK KIT 2SER TOTAL LOCK 4",12.00,0,08/22/17,08/22/17,N/A
138284,193246,WH6X2TUM19,WHL 6X2 TPU MAROON ON GRAY W,"          1,560.00",0,08/18/17,08/18/17,N/A
138287,193252,95556,PNA22000WA,12.00,0,08/11/17,,N/A
138287,193252,002945,Stem TH SE20525ZN,29.00,0,08/11/17,08/11/17,N/A
138276,193538,95591,PNA22639BC,4.00,0,08/11/17,08/11/17,N/A
138276,193538,95385,PCM40302BB,4.00,0,08/11/17,,N/A
